Founding Year,Team Size,Funding Amount (USD),Number of AI Patents,Website Visits per Month,CEO Name,Startup Code,Success
2016,58,2757901.08,2,3256,Heidi,S-FAIL-2824,0
2013,7,4904270.76,3,7358,Eve,S-FAIL-1409,0
2022,29,3789599.98,5,7355,Alice,S-SUCCESS-5506,1
2020,29,4007445.52,1,4538,Eve,S-FAIL-5012,0
2017,45,8457710.09,5,5394,Dana,S-SUCCESS-4657,1
2022,85,9307166.66,0,4913,Charlie,S-SUCCESS-3286,1
2014,31,797119.7,4,6082,Eve,S-FAIL-2679,0
2016,63,2168295.3,1,6530,Frank,S-FAIL-9935,0
2019,76,6744320.82,7,5310,Bob,S-SUCCESS-2424,1
2012,93,3650603.13,1,5563,Bob,S-SUCCESS-7912,1
2016,90,2616220.13,2,4255,Heidi,S-FAIL-1520,0
2020,63,3023376.83,2,5524,Frank,S-FAIL-1488,0
2020,98,3293252.57,2,5195,Dana,S-SUCCESS-2535,1
2017,2,8501830.97,0,3906,Frank,S-FAIL-4582,0
2014,28,1452551.18,3,4983,Grace,S-FAIL-4811,0
2013,63,7118218.87,1,4540,Dana,S-SUCCESS-9279,1
2017,78,5572917.77,4,4269,Bob,S-SUCCESS-1434,1
2017,4,3035450.42,3,3624,Eve,S-FAIL-4257,0
2012,71,4255830.48,5,5075,Dana,S-SUCCESS-9928,1
2015,73,2636448.74,2,4063,Eve,S-FAIL-7873,0
2014,28,6153985.74,0,4435,Eve,S-FAIL-4611,0
2011,10,907782.39,1,6290,Eve,S-FAIL-8359,0
2017,63,151330.14,2,5759,Eve,S-FAIL-5557,0
2021,38,6316154.71,6,3825,Bob,S-SUCCESS-1106,1
2023,98,2023312.14,2,5422,Frank,S-FAIL-3615,0
2015,52,802315.08,3,5159,Heidi,S-FAIL-7924,0
2011,45,4028159.89,1,7042,Heidi,S-FAIL-6574,0
2021,25,602608.46,4,6660,Heidi,S-FAIL-5552,0
2014,80,8877509.77,3,3160,Bob,S-SUCCESS-3547,1
2010,60,373406.04,6,6033,Heidi,S-FAIL-4527,0
2021,33,5830762.47,4,6518,Alice,S-SUCCESS-6514,1
2019,97,4440893.82,4,5671,Bob,S-SUCCESS-2674,1
2015,89,6753058.74,6,4598,Dana,S-SUCCESS-2519,1
2022,53,3348711.41,0,7896,Eve,S-FAIL-7224,0
2021,63,1634912.01,2,5782,Heidi,S-FAIL-2584,0
2018,59,9820224.79,3,7372,Charlie,S-SUCCESS-6881,1
2010,53,8405441.67,3,6622,Dana,S-SUCCESS-6635,1
2020,13,8618005.72,6,5557,Charlie,S-SUCCESS-5333,1
2020,40,2577488.47,3,4304,Heidi,S-FAIL-1711,0
2019,3,484463.87,4,4971,Heidi,S-FAIL-8527,0
2021,4,3102328.6,2,4734,Frank,S-FAIL-9785,0
2021,57,5417116.03,3,3543,Frank,S-FAIL-3045,0
2023,82,3333847.29,1,5780,Grace,S-FAIL-7201,0
2023,60,8295903.14,2,6881,Bob,S-SUCCESS-2291,1
2023,3,2788274.87,5,4642,Eve,S-FAIL-5803,0
2012,3,9655993.12,1,7596,Alice,S-SUCCESS-6925,1
2021,93,4626925.1,1,3131,Grace,S-FAIL-4150,0
2016,55,8436028.44,3,6265,Alice,S-SUCCESS-2139,1
2013,88,2024362.34,3,7006,Alice,S-SUCCESS-1750,1
2018,97,4172403.66,4,4755,Dana,S-SUCCESS-4733,1
2012,98,7025170.89,2,4777,Bob,S-SUCCESS-5741,1
2014,2,1469695.61,4,6251,Eve,S-FAIL-2307,0
2012,20,1414179.68,5,5607,Eve,S-FAIL-4814,0
2016,3,9698414.98,4,2603,Bob,S-SUCCESS-2654,1
2014,54,7174491.53,1,3988,Alice,S-SUCCESS-7227,1
2018,45,506568.42,2,4984,Eve,S-FAIL-5554,0
2016,91,4048326.92,3,3356,Bob,S-SUCCESS-8428,1
2011,33,4391855.3,1,4431,Heidi,S-FAIL-6977,0
2013,71,7466022.17,0,3386,Alice,S-SUCCESS-3664,1
2018,33,2583519.22,5,4556,Frank,S-FAIL-7065,0
2021,69,1924903.38,7,4596,Eve,S-FAIL-6820,0
2023,56,900642.37,3,5422,Eve,S-FAIL-4432,0
2011,76,4340313.3,4,4890,Dana,S-SUCCESS-5374,1
2019,57,6916149.02,4,5603,Charlie,S-SUCCESS-2169,1
2018,18,676116.6,3,5460,Grace,S-FAIL-3803,0
2019,39,9160615.9,2,6238,Bob,S-SUCCESS-9751,1
2014,25,4479287.07,0,6049,Grace,S-FAIL-5010,0
2011,70,2473894.86,2,5922,Frank,S-FAIL-3677,0
2013,99,1029345.57,4,8726,Charlie,S-SUCCESS-8573,1
2021,71,1910373.37,5,5417,Heidi,S-FAIL-7216,0
2021,87,9352678.57,0,8112,Bob,S-SUCCESS-5422,1
2016,12,6418878.88,6,5495,Charlie,S-SUCCESS-4598,1
2021,17,5215292.95,5,4901,Heidi,S-FAIL-6313,0
2022,98,6605402.15,6,4552,Charlie,S-SUCCESS-1916,1
2017,74,4413161.7,2,6812,Alice,S-SUCCESS-4752,1
2012,60,7327389.23,3,6969,Alice,S-SUCCESS-1525,1
2023,71,572389.66,4,5720,Heidi,S-FAIL-6168,0
2010,81,5703768.38,6,6360,Alice,S-SUCCESS-7572,1
2013,94,1670599.83,4,3467,Eve,S-FAIL-5386,0
2011,4,1289630.01,4,3141,Frank,S-FAIL-2084,0
2017,21,3484608.7,4,6496,Grace,S-FAIL-4456,0
2013,60,1008810.75,6,4848,Frank,S-FAIL-6155,0
2011,37,1032154.18,2,5899,Grace,S-FAIL-4483,0
2023,20,3182991.76,3,4139,Eve,S-FAIL-9179,0
2015,91,9797154.23,3,6988,Bob,S-SUCCESS-7482,1
2015,68,1835769.67,2,3151,Grace,S-FAIL-8517,0
2019,20,269894.91,3,3337,Grace,S-FAIL-3340,0
2013,21,7657307.79,1,6733,Bob,S-SUCCESS-5339,1
2015,97,8088438.47,3,1868,Dana,S-SUCCESS-3287,1
2022,72,3528412.78,1,5454,Grace,S-FAIL-5040,0
2011,53,4700270.75,3,4871,Eve,S-FAIL-9830,0
2019,34,6532759.46,3,4117,Charlie,S-SUCCESS-5304,1
2021,41,575783.35,3,4760,Eve,S-FAIL-8019,0
2011,40,9496542.74,6,3983,Bob,S-SUCCESS-7543,1
2019,83,8878135.83,3,6851,Charlie,S-SUCCESS-6930,1
2023,2,2682846.87,0,7165,Eve,S-FAIL-4593,0
2013,12,251514.95,3,4177,Eve,S-FAIL-3266,0
2023,93,9341019.45,3,5331,Bob,S-SUCCESS-9348,1
2017,58,5060294.85,3,3410,Grace,S-FAIL-9085,0
2023,90,5439836.74,2,6288,Charlie,S-SUCCESS-2489,1
2016,51,6871241.32,4,6256,Bob,S-SUCCESS-1771,1
2021,24,6196926.53,4,4646,Charlie,S-SUCCESS-2796,1
2018,32,9444526.89,5,5020,Bob,S-SUCCESS-3504,1
2023,95,9448090.81,1,4887,Charlie,S-SUCCESS-3621,1
2017,43,8685269.44,8,3058,Dana,S-SUCCESS-7916,1
2014,8,6400395.61,2,6855,Grace,S-FAIL-2040,0
2022,17,8029398.02,5,4080,Alice,S-SUCCESS-7304,1
2011,91,6803966.59,7,4088,Alice,S-SUCCESS-7252,1
2014,61,5776333.71,2,4819,Dana,S-SUCCESS-8668,1
2017,3,1372153.5,3,6195,Grace,S-FAIL-9669,0
2019,2,8130921.35,7,4290,Alice,S-SUCCESS-5119,1
2018,49,8224330.81,0,2657,Alice,S-SUCCESS-1188,1
2021,13,6296802.73,5,3936,Grace,S-FAIL-2876,0
2021,70,8222225.75,3,5509,Bob,S-SUCCESS-9797,1
2021,38,6549699.24,3,7628,Charlie,S-SUCCESS-5371,1
2022,33,2146175.16,4,3488,Frank,S-FAIL-6573,0
2018,10,2812215.16,2,3444,Heidi,S-FAIL-2827,0
2022,20,2224432.29,7,3185,Heidi,S-FAIL-5808,0
2022,49,3834864.92,3,3036,Eve,S-FAIL-8123,0
2010,81,485735.01,1,6447,Eve,S-FAIL-3591,0
2018,4,6220713.45,2,6794,Eve,S-FAIL-8433,0
2016,21,3431886.73,5,5213,Frank,S-FAIL-1053,0
2018,25,6591654.09,3,4439,Alice,S-SUCCESS-5315,1
2017,55,3915426.55,2,7149,Charlie,S-SUCCESS-9201,1
2010,34,6847975.32,8,5209,Bob,S-SUCCESS-3927,1
2021,25,3472183.24,3,6307,Heidi,S-FAIL-9317,0
2017,76,2680875.83,5,4380,Frank,S-FAIL-2743,0
2017,73,5010770.8,3,5053,Alice,S-SUCCESS-5889,1
2020,37,6959614.55,2,3515,Charlie,S-SUCCESS-9317,1
2012,39,3548532.38,1,5755,Grace,S-FAIL-4258,0
2010,85,9372816.7,1,5229,Alice,S-SUCCESS-3504,1
2017,90,487944.63,1,3927,Grace,S-FAIL-7126,0
2012,26,4237665.71,5,3943,Frank,S-FAIL-3646,0
2012,94,9679047.46,10,6939,Bob,S-SUCCESS-9837,1
2010,19,5524921.64,1,7366,Eve,S-FAIL-9689,0
2020,83,4292362.33,4,4744,Charlie,S-SUCCESS-1009,1
2014,67,5728350.81,2,5081,Dana,S-SUCCESS-6310,1
2019,55,5801653.3,1,5480,Bob,S-SUCCESS-9005,1
2016,36,7343312.78,2,5178,Bob,S-SUCCESS-1319,1
2019,81,1364128.32,4,2991,Frank,S-FAIL-2832,0
2018,62,2575162.85,5,5513,Frank,S-FAIL-6947,0
2021,42,5847385.72,6,2495,Dana,S-SUCCESS-6038,1
2016,34,8684454.41,4,4121,Alice,S-SUCCESS-4923,1
2018,69,5662480.25,3,5607,Bob,S-SUCCESS-1949,1
2017,34,2462108.91,0,5720,Grace,S-FAIL-4946,0
2021,15,6830463.32,1,4028,Heidi,S-FAIL-2290,0
2011,22,7425096.73,0,4450,Frank,S-FAIL-2403,0
2010,49,2458537.91,3,4287,Grace,S-FAIL-8962,0
2016,21,3839515.97,1,4877,Frank,S-FAIL-2133,0
2016,9,5389841.99,2,4968,Eve,S-FAIL-9727,0
2023,8,5015955.79,5,5802,Heidi,S-FAIL-3060,0
2017,68,3957219.05,1,4380,Eve,S-FAIL-3103,0
2014,18,3046588.23,1,5448,Heidi,S-FAIL-8787,0
2012,34,1089850.38,3,5608,Frank,S-FAIL-3705,0
2021,49,629504.44,7,5238,Frank,S-FAIL-5342,0
2017,77,9589560.82,4,4688,Dana,S-SUCCESS-9645,1
2015,60,8486717.13,0,5217,Charlie,S-SUCCESS-7932,1
2020,87,3613561.39,1,5902,Charlie,S-SUCCESS-4470,1
2012,23,9572328.76,5,6007,Bob,S-SUCCESS-9835,1
2010,31,6800022.05,3,7178,Bob,S-SUCCESS-4295,1
2012,39,4876957.4,6,3812,Alice,S-SUCCESS-6107,1
2014,52,4980954.01,4,4472,Bob,S-SUCCESS-7537,1
2023,55,924515.67,1,3064,Heidi,S-FAIL-7118,0
2012,9,1007871.06,1,6117,Grace,S-FAIL-8177,0
2010,28,6064165.17,4,4599,Charlie,S-SUCCESS-9479,1
2014,28,5581660.22,0,5247,Eve,S-FAIL-8397,0
2019,99,2206006.16,1,4275,Grace,S-FAIL-2982,0
2016,22,9467325.97,4,4608,Charlie,S-SUCCESS-5061,1
2023,31,7834830.9,2,6468,Dana,S-SUCCESS-4681,1
2016,98,1223299.56,8,5833,Charlie,S-SUCCESS-2049,1
2020,29,9316198.15,1,4866,Alice,S-SUCCESS-6539,1
2018,65,9745057.26,3,5921,Alice,S-SUCCESS-1344,1
2019,98,9959719.3,5,5948,Charlie,S-SUCCESS-4770,1
2019,70,653124.43,0,4530,Frank,S-FAIL-4608,0
2021,62,7396652.01,3,3237,Charlie,S-SUCCESS-1117,1
2022,49,5504566.12,3,3921,Eve,S-FAIL-2163,0
2012,20,7087731.69,1,3391,Eve,S-FAIL-1964,0
2016,5,9689654.25,2,6397,Dana,S-SUCCESS-4750,1
2010,36,6911497.1,0,6606,Charlie,S-SUCCESS-2104,1
2013,65,8385942.35,2,6904,Charlie,S-SUCCESS-1514,1
2022,50,8682000.18,0,2577,Dana,S-SUCCESS-6413,1
2013,18,8400959.56,3,6286,Alice,S-SUCCESS-2160,1
2023,45,4318305.6,5,7655,Dana,S-SUCCESS-9423,1
2014,93,2303506.53,3,6334,Bob,S-SUCCESS-4899,1
2016,31,4026850.86,3,2419,Grace,S-FAIL-5562,0
2016,94,8929779.4,4,7122,Alice,S-SUCCESS-8953,1
2022,47,1551387.73,4,5050,Heidi,S-FAIL-4510,0
2020,7,5181929.07,3,4721,Eve,S-FAIL-9834,0
2022,38,2408957.92,6,5541,Frank,S-FAIL-3167,0
2013,25,5854923.63,3,3741,Grace,S-FAIL-8744,0
2022,94,8645071.37,7,5003,Dana,S-SUCCESS-4981,1
2016,47,8815563.69,5,6945,Alice,S-SUCCESS-8749,1
2020,54,2443183.42,2,5747,Grace,S-FAIL-7669,0
2012,96,9086167.69,1,5070,Charlie,S-SUCCESS-4119,1
2015,61,5959698.51,2,5108,Alice,S-SUCCESS-2545,1
2021,98,3567160.64,0,3582,Grace,S-FAIL-2588,0
2011,64,7110993.84,4,4820,Charlie,S-SUCCESS-8062,1
2019,86,4868503.18,1,3039,Heidi,S-FAIL-6804,0
2022,33,3842077.14,4,6227,Grace,S-FAIL-7939,0
2023,88,7080335.21,2,2377,Dana,S-SUCCESS-7735,1